t_ns,x,y,z,deviation_m
1780651959114767405,0.3970943699470594,-0.008101545833303928,0.2870099729723382,1.8637832262909429e-06
1780651959124338393,0.3970956656305404,-0.008173254793337262,0.2872967930776952,2.9516400307488597e-06
1780651959135117779,0.39709728502609687,-0.008256372059961145,0.2876290975581301,4.4800477703277295e-06
1780651959145118170,0.3970981819598108,-0.008326885373612307,0.28791116652053506,5.343420207583375e-06
1780651959155667450,0.3970994486621065,-0.00840898144315818,0.2882394175280357,6.5855898343677074e-06
1780651959166075459,0.39710004746576166,-0.00847859697834237,0.28851791921964126,7.171191398882115e-06
1780651959176782867,0.3971010538618759,-0.008559906771564513,0.2888430459253429,8.166823509993837e-06
1780651959187048497,0.397101432066029,-0.008628833252478103,0.289118807307982,8.537904825042067e-06
1780651959197624927,0.39710224631589347,-0.008709539529410233,0.28944153322279953,9.346416492324883e-06
1780651959207686284,0.3971024614084157,-0.008777937011358213,0.28971518872080365,9.55700028895177e-06
1780651959217131710,0.3971031340540736,-0.008858179836276944,0.2900360699859689,1.022626129750508e-05
1780651959228248847,0.3971032286216366,-0.008926171044027605,0.290308107126858,1.0317670132336713e-05
1780651959239534123,0.3971037971309819,-0.009006058157304903,0.2906275711219196,1.0884093362204714e-05
1780651959249355310,0.39710380270318607,-0.009073737422147725,0.2908983645485799,1.0887301083748957e-05
1780651959259934883,0.39710429483906706,-0.009153351486608764,0.2912167397061941,1.1378136673778355e-05
1780651959269823806,0.39710423474225914,-0.009220791206284808,0.29148657731493605,1.1316179572473912e-05
1780651959280439777,0.39710467106107095,-0.009300195704111211,0.291804116025852,1.175170787713887e-05
1780651959290528514,0.39710544026679107,-0.00938750704303977,0.2921531750706226,1.2521000807505151e-05
1780651959300839337,0.3971055325763246,-0.009461980095145615,0.2924510806190176,1.2612355738768238e-05
1780651959311131698,0.3971061115767318,-0.009547517676062711,0.29279309254618313,1.3191501115570575e-05
1780651959322077906,0.3971060502368282,-0.009620146772832967,0.29308366004369724,1.3129171550643612e-05
1780651959335627506,0.3971064968026706,-0.00970410148817636,0.2934193732074554,1.357587959423368e-05
1780651959346658369,0.3971063366717283,-0.009775340328426224,0.29370440282716787,1.3414740310616374e-05
1780651959354830568,0.39710586556255795,-0.009838023756295312,0.293955302003946,1.2942054100751003e-05
1780651959365285276,0.3971059316929392,-0.009912965610396632,0.2942550705815107,1.3007765196202142e-05
1780651959374837584,0.39710639001623643,-0.009996400504210766,0.2945886913087769,1.3466537092882513e-05
1780651959385224049,0.39710624832987673,-0.010067473442107261,0.2948730426171905,1.3324118175686513e-05
1780651959395922601,0.39710662908241395,-0.010150032618721577,0.2952031808606246,1.3705258751260407e-05
1780651959406565021,0.3971064214308632,-0.010220051768027233,0.29548333387595893,1.349681039031052e-05
1780651959416593749,0.39710674663972034,-0.010301720310504858,0.29580992403621,1.3822360533662933e-05
1780651959426557886,0.3971064988396293,-0.010370955410728772,0.29608695058020396,1.357373499706987e-05
1780651959436670541,0.39710679036728935,-0.010451937490455164,0.2964108034057382,1.3865580403695124e-05
1780651959447169075,0.39710651907296834,-0.010520570998858683,0.2966854288275227,1.3593453588764622e-05
1780651959457273136,0.3971067916719362,-0.010601026313863206,0.29700717850403396,1.386637921677003e-05
1780651959468133112,0.3971065078420403,-0.010669198060193619,0.29727995887287045,1.3581732374738696e-05
1780651959478596664,0.3971067712797104,-0.010749248871874888,0.2976000928641776,1.3845490717927895e-05
1780651959488053327,0.39710648196438947,-0.010817065988594318,0.2978714554414511,1.3555367955616244e-05
1780651959498224961,0.39710674256155787,-0.010896806414675185,0.2981903483086433,1.381629305147055e-05
1780651959508389515,0.3971064521405903,-0.010964351281217546,0.29846062138683327,1.3525081484019583e-05
1780651959519706406,0.397106713864395,-0.011043853499530486,0.29877856094246186,1.3787141416653538e-05
